SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-57.41217,-59.66448,0.0005
-51.67096,-59.66448,0.0006
-45.92974,-59.66448,0.0006
-40.18852,-59.66448,0.0006
-34.4473,-59.66448,0.0006
-28.70609,-59.66448,0.0006
-22.96487,-59.66448,0.0006
-17.22365,-59.66448,0.0006
-11.48244,-59.66448,0.0006
-5.741218,-59.66448,0.0006
0,-59.66448,0.0006
5.741218,-59.66448,0.0006
11.48244,-59.66448,0.0006
17.22365,-59.66448,0.0006
22.96487,-59.66448,0.0006
28.70609,-59.66448,0.0006
34.4473,-59.66448,0.0006
40.18852,-59.66448,0.0006
45.92974,-59.66448,0.0007
51.67096,-59.66448,0.0006
57.41217,-59.66448,0.0005
60.28278,-54.69244,0.0006
54.54156,-54.69244,0.0082
48.80035,-54.69244,0.0036
43.05913,-54.69244,0.0054
37.31791,-54.69244,0.0047
31.5767,-54.69244,0.0046
25.83548,-54.69244,0.0051
20.09426,-54.69244,0.0043
14.35304,-54.69244,0.0046
8.611826,-54.69244,0.0045
2.870609,-54.69244,0.0045
-2.870609,-54.69244,0.0045
-8.611826,-54.69244,0.0045
-14.35304,-54.69244,0.0047
-20.09426,-54.69244,0.0045
-25.83548,-54.69244,0.005
-31.5767,-54.69244,0.0044
-37.31791,-54.69244,0.0046
-43.05913,-54.69244,0.0056
-48.80035,-54.69244,0.0034
-54.54156,-54.69244,0.0081
-60.28278,-54.69244,0.0006
-57.41217,-49.7204,0.0039
-51.67096,-49.7204,0.0011
-45.92974,-49.7204,0.0013
-40.18852,-49.7204,0.0027
-34.4473,-49.7204,0.0016
-28.70609,-49.7204,0.002
-22.96487,-49.7204,0.0021
-17.22365,-49.7204,0.0019
-11.48244,-49.7204,0.0024
-5.741218,-49.7204,0.0023
0,-49.7204,0.0025
5.741218,-49.7204,0.0024
11.48244,-49.7204,0.0027
17.22365,-49.7204,0.0021
22.96487,-49.7204,0.0024
28.70609,-49.7204,0.0024
34.4473,-49.7204,0.0018
40.18852,-49.7204,0.0025
45.92974,-49.7204,0.0012
51.67096,-49.7204,0.0013
57.41217,-49.7204,0.0039
54.54156,-44.74836,0.0054
48.80035,-44.74836,0.0015
43.05913,-44.74836,0.0047
37.31791,-44.74836,0.0033
31.5767,-44.74836,0.0024
25.83548,-44.74836,0.0037
20.09426,-44.74836,0.0027
14.35304,-44.74836,0.003
8.611826,-44.74836,0.003
2.870609,-44.74836,0.003
-2.870609,-44.74836,0.0029
-8.611826,-44.74836,0.0029
-14.35304,-44.74836,0.003
-20.09426,-44.74836,0.0028
-25.83548,-44.74836,0.0035
-31.5767,-44.74836,0.0022
-37.31791,-44.74836,0.0031
-43.05913,-44.74836,0.005
-48.80035,-44.74836,0.0017
-54.54156,-44.74836,0.0053
-57.41217,-39.77632,0.0046
-51.67096,-39.77632,0.003
-45.92974,-39.77632,0.0037
-40.18852,-39.77632,0.0038
