SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-57.74467,-57.90441,0.0006
-51.66629,-57.90441,0.0008
-45.5879,-57.90441,0.0007
-39.50951,-57.90441,0.0007
-33.43113,-57.90441,0.0007
-27.35274,-57.90441,0.0007
-21.27435,-57.90441,0.0007
-15.19597,-57.90441,0.0007
-9.11758,-57.90441,0.0007
-3.039193,-57.90441,0.0007
3.039193,-57.90441,0.0007
9.11758,-57.90441,0.0007
15.19597,-57.90441,0.0007
21.27435,-57.90441,0.0007
27.35274,-57.90441,0.0007
33.43113,-57.90441,0.0007
39.50951,-57.90441,0.0007
45.5879,-57.90441,0.0007
51.66629,-57.90441,0.0008
57.74467,-57.90441,0.0006
54.70548,-52.64037,0.0029
48.62709,-52.64037,0.0013
42.54871,-52.64037,0.0023
36.47032,-52.64037,0.0017
30.39193,-52.64037,0.002
24.31355,-52.64037,0.0018
18.23516,-52.64037,0.0018
12.15677,-52.64037,0.002
6.078387,-52.64037,0.0018
1.776357e-15,-52.64037,0.002
-6.078387,-52.64037,0.0019
-12.15677,-52.64037,0.0019
-18.23516,-52.64037,0.0017
-24.31355,-52.64037,0.002
-30.39193,-52.64037,0.002
-36.47032,-52.64037,0.0016
-42.54871,-52.64037,0.0023
-48.62709,-52.64037,0.0012
-54.70548,-52.64037,0.0028
-57.74467,-47.37634,0.0013
-45.5879,-47.37634,0.0008
-39.50951,-47.37634,0.0007
-33.43113,-47.37634,0.0005
-27.35274,-47.37634,0.0008
-21.27435,-47.37634,0.0006
-15.19597,-47.37634,0.0006
-9.11758,-47.37634,0.0006
-3.039193,-47.37634,0.0007
3.039193,-47.37634,0.0007
9.11758,-47.37634,0.0007
15.19597,-47.37634,0.0007
21.27435,-47.37634,0.0006
27.35274,-47.37634,0.0007
33.43113,-47.37634,0.0005
39.50951,-47.37634,0.0007
45.5879,-47.37634,0.0007
57.74467,-47.37634,0.0012
54.70548,-42.1123,0.0027
48.62709,-42.1123,0.0014
42.54871,-42.1123,0.0018
36.47032,-42.1123,0.0013
30.39193,-42.1123,0.0014
24.31355,-42.1123,0.0015
18.23516,-42.1123,0.0013
12.15677,-42.1123,0.0014
6.078387,-42.1123,0.0013
1.776357e-15,-42.1123,0.0014
-6.078387,-42.1123,0.0013
-12.15677,-42.1123,0.0014
-18.23516,-42.1123,0.0013
-24.31355,-42.1123,0.0016
-30.39193,-42.1123,0.0014
-36.47032,-42.1123,0.0012
-42.54871,-42.1123,0.0019
-48.62709,-42.1123,0.0015
-54.70548,-42.1123,0.0027
-57.74467,-36.84826,0.0013
-51.66629,-36.84826,0.0008
-45.5879,-36.84826,0.0006
-39.50951,-36.84826,0.0009
-33.43113,-36.84826,0.0009
-27.35274,-36.84826,0.0011
-21.27435,-36.84826,0.0009
-15.19597,-36.84826,0.001
-9.11758,-36.84826,0.001
-3.039193,-36.84826,0.001
3.039193,-36.84826,0.001
9.11758,-36.84826,0.001
15.19597,-36.84826,0.0009
21.27435,-36.84826,0.0009
27.35274,-36.84826,0.001
33.43113,-36.84826,0.0009
39.50951,-36.84826,0.0009
45.5879,-36.84826,0.0007
51.66629,-36.84826,0.0008
57.74467,-36.84826,0.0012
54.70548,-31.58422,0.0021
48.62709,-31.58422,0.0007
42.54871,-31.58422,0.0016
36.47032,-31.58422,0.0014
30.39193,-31.58422,0.0012
24.31355,-31.58422,0.0013
18.23516,-31.58422,0.0012
12.15677,-31.58422,0.0014
6.078387,-31.58422,0.0014
1.776357e-15,-31.58422,0.0014
-6.078387,-31.58422,0.0014
-12.15677,-31.58422,0.0014
-18.23516,-31.58422,0.0012
-24.31355,-31.58422,0.0013
-30.39193,-31.58422,0.0013
-36.47032,-31.58422,0.0014
-42.54871,-31.58422,0.0015
-48.62709,-31.58422,0.0007
-54.70548,-31.58422,0.0021
-57.74467,-26.32019,0.0015
-51.66629,-26.32019,0.0014
-45.5879,-26.32019,0.0012
-39.50951,-26.32019,0.0015
-33.43113,-26.32019,0.001
-27.35274,-26.32019,0.0011
-21.27435,-26.32019,0.001
-15.19597,-26.32019,0.0011
-9.11758,-26.32019,0.0012
-3.039193,-26.32019,0.0012
3.039193,-26.32019,0.0012
9.11758,-26.32019,0.0012
15.19597,-26.32019,0.0012
21.27435,-26.32019,0.0012
27.35274,-26.32019,0.0011
33.43113,-26.32019,0.0009
39.50951,-26.32019,0.0015
45.5879,-26.32019,0.0012
51.66629,-26.32019,0.0013
57.74467,-26.32019,0.0013
54.70548,-21.05615,0.002
48.62709,-21.05615,0.0006
42.54871,-21.05615,0.0013
36.47032,-21.05615,0.001
30.39193,-21.05615,0.001
24.31355,-21.05615,0.0012
18.23516,-21.05615,0.0013
12.15677,-21.05615,0.0013
6.078387,-21.05615,0.0013
1.776357e-15,-21.05615,0.0014
-6.078387,-21.05615,0.0013
