SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.30831,-57.47808,0.0028
-49.77748,-57.47808,0.0271
-44.24665,-57.47808,0.0162
-38.71582,-57.47808,0.0173
-33.18499,-57.47808,0.0159
-27.65416,-57.47808,0.0159
-22.12333,-57.47808,0.0154
-16.59249,-57.47808,0.0154
-11.06166,-57.47808,0.016
-5.530831,-57.47808,0.0149
-8.881784e-15,-57.47808,0.0155
5.530831,-57.47808,0.0146
11.06166,-57.47808,0.0151
16.59249,-57.47808,0.0145
22.12333,-57.47808,0.0153
27.65416,-57.47808,0.0151
33.18499,-57.47808,0.016
38.71582,-57.47808,0.0174
44.24665,-57.47808,0.0165
49.77748,-57.47808,0.026
55.30831,-57.47808,0.0028
58.07373,-52.68824,0.0175
52.5429,-52.68824,0.0544
47.01207,-52.68824,0.0216
41.48124,-52.68824,0.0493
35.95041,-52.68824,0.03
30.41957,-52.68824,0.0367
24.88874,-52.68824,0.037
19.35791,-52.68824,0.0323
13.82708,-52.68824,0.0369
8.296247,-52.68824,0.0329
2.765416,-52.68824,0.0355
-2.765416,-52.68824,0.0359
-8.296247,-52.68824,0.0332
-13.82708,-52.68824,0.0392
-19.35791,-52.68824,0.0303
-24.88874,-52.68824,0.0376
-30.41957,-52.68824,0.0381
-35.95041,-52.68824,0.0288
-41.48124,-52.68824,0.0501
-47.01207,-52.68824,0.0193
-52.5429,-52.68824,0.0558
-58.07373,-52.68824,0.0186
-60.83915,-47.8984,0.0004
-55.30831,-47.8984,0.0446
-44.24665,-47.8984,0.0031
-38.71582,-47.8984,0.0081
-33.18499,-47.8984,0.0076
-27.65416,-47.8984,0.0118
-22.12333,-47.8984,0.0074
-16.59249,-47.8984,0.0085
-11.06166,-47.8984,0.01
-5.530831,-47.8984,0.0083
-8.881784e-15,-47.8984,0.0114
5.530831,-47.8984,0.0089
11.06166,-47.8984,0.0108
16.59249,-47.8984,0.0102
22.12333,-47.8984,0.0095
27.65416,-47.8984,0.0115
33.18499,-47.8984,0.0078
38.71582,-47.8984,0.0081
44.24665,-47.8984,0.0039
55.30831,-47.8984,0.045
