SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.78058,-57.96888,0.0003
-50.20252,-57.96888,0.0101
-44.62447,-57.96888,0.0066
-39.04641,-57.96888,0.0069
-33.46835,-57.96888,0.0064
-27.89029,-57.96888,0.0057
-22.31223,-57.96888,0.0061
-16.73417,-57.96888,0.0061
-11.15612,-57.96888,0.0063
-5.578058,-57.96888,0.0057
-2.309264e-14,-57.96888,0.0062
5.578058,-57.96888,0.006
11.15612,-57.96888,0.0056
16.73417,-57.96888,0.0068
22.31223,-57.96888,0.0045
27.89029,-57.96888,0.0075
33.46835,-57.96888,0.0052
39.04641,-57.96888,0.0066
44.62447,-57.96888,0.0089
50.20252,-57.96888,0.0021
55.78058,-57.96888,0.0286
58.56961,-53.13814,0.019
52.99155,-53.13814,0.0411
41.83543,-53.13814,0.023
36.25738,-53.13814,0.0202
30.67932,-53.13814,0.0162
25.10126,-53.13814,0.018
19.5232,-53.13814,0.0171
13.94515,-53.13814,0.0196
8.367087,-53.13814,0.0166
2.789029,-53.13814,0.0184
-2.789029,-53.13814,0.0187
-8.367087,-53.13814,0.0154
-13.94515,-53.13814,0.0208
-19.5232,-53.13814,0.0153
-25.10126,-53.13814,0.018
-30.67932,-53.13814,0.017
-36.25738,-53.13814,0.0174
-41.83543,-53.13814,0.0261
-47.41349,-53.13814,0.0091
-52.99155,-53.13814,0.0256
-58.56961,-53.13814,0.0064
-55.78058,-48.3074,0.0221
-39.04641,-48.3074,0.0031
-33.46835,-48.3074,0.0028
-27.89029,-48.3074,0.0034
-22.31223,-48.3074,0.0022
-16.73417,-48.3074,0.0031
-11.15612,-48.3074,0.0033
-5.578058,-48.3074,0.0025
-3.730349e-14,-48.3074,0.0044
5.578058,-48.3074,0.003
11.15612,-48.3074,0.0043
16.73417,-48.3074,0.0044
22.31223,-48.3074,0.0033
27.89029,-48.3074,0.0043
33.46835,-48.3074,0.0015
39.04641,-48.3074,0.0044
55.78058,-48.3074,0.004
58.56961,-43.47666,0.0056
52.99155,-43.47666,0.0102
41.83543,-43.47666,0.0226
36.25738,-43.47666,0.0103
30.67932,-43.47666,0.0104
25.10126,-43.47666,0.0119
19.5232,-43.47666,0.0102
13.94515,-43.47666,0.0132
8.367087,-43.47666,0.0093
2.789029,-43.47666,0.0117
-2.789029,-43.47666,0.012
-8.367087,-43.47666,0.0089
-13.94515,-43.47666,0.0146
-19.5232,-43.47666,0.0088
-25.10126,-43.47666,0.0134
-30.67932,-43.47666,0.0095
-36.25738,-43.47666,0.0114
-41.83543,-43.47666,0.0209
-47.41349,-43.47666,0.0031
-52.99155,-43.47666,0.01
-58.56961,-43.47666,0.0063
-55.78058,-38.64592,0.0246
-50.20252,-38.64592,0.0094
-44.62447,-38.64592,0.0116
-39.04641,-38.64592,0.0092
-33.46835,-38.64592,0.0054
-27.89029,-38.64592,0.0117
