SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-56.10531,-58.30635,0.0065
-50.49478,-58.30635,0.0029
-44.88425,-58.30635,0.003
-39.27372,-58.30635,0.0028
-33.66319,-58.30635,0.0026
-28.05266,-58.30635,0.0032
-22.44213,-58.30635,0.0027
-16.83159,-58.30635,0.003
-11.22106,-58.30635,0.0028
-5.610531,-58.30635,0.0027
1.24345e-14,-58.30635,0.0028
5.610531,-58.30635,0.0027
11.22106,-58.30635,0.0027
16.83159,-58.30635,0.0028
22.44213,-58.30635,0.0027
28.05266,-58.30635,0.003
33.66319,-58.30635,0.0028
39.27372,-58.30635,0.0027
44.88425,-58.30635,0.0032
50.49478,-58.30635,0.0033
56.10531,-58.30635,0.0051
58.91058,-53.44749,0.005
53.30005,-53.44749,0.0203
47.68952,-53.44749,0.0031
42.07898,-53.44749,0.0122
36.46845,-53.44749,0.0078
30.85792,-53.44749,0.0097
25.24739,-53.44749,0.0093
19.63686,-53.44749,0.0085
14.02633,-53.44749,0.0091
8.415797,-53.44749,0.009
2.805266,-53.44749,0.0087
-2.805266,-53.44749,0.0088
-8.415797,-53.44749,0.0091
-14.02633,-53.44749,0.0099
-19.63686,-53.44749,0.0083
-25.24739,-53.44749,0.0094
-30.85792,-53.44749,0.0099
-36.46845,-53.44749,0.0078
-42.07898,-53.44749,0.0127
-47.68952,-53.44749,0.0014
-53.30005,-53.44749,0.02
-58.91058,-53.44749,0.0057
-56.10531,-48.58863,0.0057
-44.88425,-48.58863,0.0005
-39.27372,-48.58863,0.003
-33.66319,-48.58863,0.002
-28.05266,-48.58863,0.0033
-22.44213,-48.58863,0.0023
-16.83159,-48.58863,0.0028
-11.22106,-48.58863,0.0038
-5.610531,-48.58863,0.0032
1.24345e-14,-48.58863,0.0032
5.610531,-48.58863,0.0033
11.22106,-48.58863,0.0036
16.83159,-48.58863,0.003
22.44213,-48.58863,0.0028
28.05266,-48.58863,0.0032
33.66319,-48.58863,0.002
39.27372,-48.58863,0.0024
44.88425,-48.58863,0.0008
56.10531,-48.58863,0.0078
58.91058,-43.72976,0.0025
53.30005,-43.72976,0.008
47.68952,-43.72976,0.002
42.07898,-43.72976,0.0076
36.46845,-43.72976,0.0047
30.85792,-43.72976,0.0051
25.24739,-43.72976,0.0058
19.63686,-43.72976,0.0045
14.02633,-43.72976,0.0053
8.415797,-43.72976,0.0054
2.805266,-43.72976,0.0051
-2.805266,-43.72976,0.0049
-8.415797,-43.72976,0.0056
-14.02633,-43.72976,0.0064
-19.63686,-43.72976,0.0043
-25.24739,-43.72976,0.006
-30.85792,-43.72976,0.0056
-36.46845,-43.72976,0.0048
-42.07898,-43.72976,0.0089
-47.68952,-43.72976,0.0019
-53.30005,-43.72976,0.0076
-58.91058,-43.72976,0.0025
-56.10531,-38.8709,0.0122
-50.49478,-38.8709,0.0049
-44.88425,-38.8709,0.0055
-39.27372,-38.8709,0.005
-33.66319,-38.8709,0.0042
-28.05266,-38.8709,0.0064
-22.44213,-38.8709,0.0045
-16.83159,-38.8709,0.0048
-11.22106,-38.8709,0.0059
-5.610531,-38.8709,0.0048
1.24345e-14,-38.8709,0.005
5.610531,-38.8709,0.005
11.22106,-38.8709,0.0053
16.83159,-38.8709,0.0046
22.44213,-38.8709,0.005
28.05266,-38.8709,0.0058
33.66319,-38.8709,0.0042
39.27372,-38.8709,0.005
44.88425,-38.8709,0.0051
50.49478,-38.8709,0.0042
56.10531,-38.8709,0.0116
58.91058,-34.01204,0.0013
53.30005,-34.01204,0.0068
47.68952,-34.01204,0.0023
42.07898,-34.01204,0.0045
36.46845,-34.01204,0.0042
30.85792,-34.01204,0.0051
25.24739,-34.01204,0.0059
19.63686,-34.01204,0.0048
14.02633,-34.01204,0.0053
8.415797,-34.01204,0.0055
2.805266,-34.01204,0.0053
-2.805266,-34.01204,0.0051
-8.415797,-34.01204,0.0054
-14.02633,-34.01204,0.0054
-19.63686,-34.01204,0.0038
-25.24739,-34.01204,0.0054
-30.85792,-34.01204,0.0052
-36.46845,-34.01204,0.0041
-42.07898,-34.01204,0.0043
-47.68952,-34.01204,0.0022
-53.30005,-34.01204,0.0064
-58.91058,-34.01204,0.0012
-56.10531,-29.15318,0.0121
-50.49478,-29.15318,0.0042
-44.88425,-29.15318,0.0043
-39.27372,-29.15318,0.0063
-33.66319,-29.15318,0.0051
-28.05266,-29.15318,0.0054
-22.44213,-29.15318,0.0046
-16.83159,-29.15318,0.0049
-11.22106,-29.15318,0.0059
-5.610531,-29.15318,0.0048
1.24345e-14,-29.15318,0.0046
5.610531,-29.15318,0.005
11.22106,-29.15318,0.0056
16.83159,-29.15318,0.0051
22.44213,-29.15318,0.0052
28.05266,-29.15318,0.0053
33.66319,-29.15318,0.0052
39.27372,-29.15318,0.0062
44.88425,-29.15318,0.0044
50.49478,-29.15318,0.0043
56.10531,-29.15318,0.012
58.91058,-24.29431,0.0018
53.30005,-24.29431,0.0084
47.68952,-24.29431,0.003
42.07898,-24.29431,0.0056
36.46845,-24.29431,0.0052
30.85792,-24.29431,0.0048
25.24739,-24.29431,0.0052
19.63686,-24.29431,0.0051
14.02633,-24.29431,0.0055
8.415797,-24.29431,0.0055
2.805266,-24.29431,0.0048
-2.805266,-24.29431,0.0047
-8.415797,-24.29431,0.0055
-14.02633,-24.29431,0.0059
-19.63686,-24.29431,0.0045
-25.24739,-24.29431,0.0048
-30.85792,-24.29431,0.0049
-36.46845,-24.29431,0.0054
-42.07898,-24.29431,0.0057
-47.68952,-24.29431,0.0029
-53.30005,-24.29431,0.0081
-58.91058,-24.29431,0.0019
-56.10531,-19.43545,0.0106
-50.49478,-19.43545,0.0034
-44.88425,-19.43545,0.0036
-39.27372,-19.43545,0.0053
-33.66319,-19.43545,0.0048
-28.05266,-19.43545,0.0053
-22.44213,-19.43545,0.0041
-16.83159,-19.43545,0.0043
-11.22106,-19.43545,0.0058
-5.610531,-19.43545,0.0055
1.24345e-14,-19.43545,0.0053
5.610531,-19.43545,0.0055
11.22106,-19.43545,0.0058
16.83159,-19.43545,0.0051
22.44213,-19.43545,0.0052
28.05266,-19.43545,0.0053
33.66319,-19.43545,0.0047
39.27372,-19.43545,0.005
44.88425,-19.43545,0.0035
50.49478,-19.43545,0.0034
56.10531,-19.43545,0.0106
58.91058,-14.57659,0.0019
53.30005,-14.57659,0.0087
47.68952,-14.57659,0.0028
42.07898,-14.57659,0.0054
36.46845,-14.57659,0.0054
30.85792,-14.57659,0.0052
25.24739,-14.57659,0.0055
19.63686,-14.57659,0.0049
14.02633,-14.57659,0.0049
8.415797,-14.57659,0.0054
2.805266,-14.57659,0.0053
-2.805266,-14.57659,0.0053
-8.415797,-14.57659,0.0054
-14.02633,-14.57659,0.0048
-19.63686,-14.57659,0.0039
-25.24739,-14.57659,0.0052
-30.85792,-14.57659,0.0054
-36.46845,-14.57659,0.0053
-42.07898,-14.57659,0.0056
-47.68952,-14.57659,0.0029
