SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-57.58028,-59.83918,0.0005
-51.82225,-59.83918,0.0005
-46.06422,-59.83918,0.0004
-40.30619,-59.83918,0.0005
-34.54817,-59.83918,0.0004
-28.79014,-59.83918,0.0004
-23.03211,-59.83918,0.0004
-17.27408,-59.83918,0.0004
-11.51606,-59.83918,0.0004
-5.758028,-59.83918,0.0004
-8.881784e-15,-59.83918,0.0004
5.758028,-59.83918,0.0004
11.51606,-59.83918,0.0004
17.27408,-59.83918,0.0004
23.03211,-59.83918,0.0004
28.79014,-59.83918,0.0004
34.54817,-59.83918,0.0004
40.30619,-59.83918,0.0005
46.06422,-59.83918,0.0004
51.82225,-59.83918,0.0005
57.58028,-59.83918,0.0005
60.45929,-54.85258,0.0004
54.70127,-54.85258,0.0071
48.94324,-54.85258,0.0027
43.18521,-54.85258,0.0042
37.42718,-54.85258,0.0037
31.66915,-54.85258,0.0037
25.91113,-54.85258,0.004
20.1531,-54.85258,0.0035
14.39507,-54.85258,0.0037
8.637042,-54.85258,0.0037
2.879014,-54.85258,0.0036
-2.879014,-54.85258,0.0036
-8.637042,-54.85258,0.0036
-14.39507,-54.85258,0.0038
-20.1531,-54.85258,0.0033
-25.91113,-54.85258,0.004
-31.66915,-54.85258,0.0036
-37.42718,-54.85258,0.0036
-43.18521,-54.85258,0.0044
-48.94324,-54.85258,0.0025
-54.70127,-54.85258,0.007
-60.45929,-54.85258,0.0005
-57.58028,-49.86599,0.0027
-51.82225,-49.86599,0.0009
-46.06422,-49.86599,0.001
-40.30619,-49.86599,0.0023
-34.54817,-49.86599,0.0015
-28.79014,-49.86599,0.002
-23.03211,-49.86599,0.0017
-17.27408,-49.86599,0.0016
-11.51606,-49.86599,0.0023
-5.758028,-49.86599,0.002
-8.881784e-15,-49.86599,0.0021
5.758028,-49.86599,0.0021
11.51606,-49.86599,0.0024
17.27408,-49.86599,0.0019
23.03211,-49.86599,0.0021
28.79014,-49.86599,0.0021
34.54817,-49.86599,0.0016
40.30619,-49.86599,0.0021
46.06422,-49.86599,0.001
51.82225,-49.86599,0.0011
57.58028,-49.86599,0.0028
54.70127,-44.87939,0.0042
48.94324,-44.87939,0.0011
43.18521,-44.87939,0.0033
37.42718,-44.87939,0.0025
31.66915,-44.87939,0.002
25.91113,-44.87939,0.0029
20.1531,-44.87939,0.0021
14.39507,-44.87939,0.0024
8.637042,-44.87939,0.0024
2.879014,-44.87939,0.0023
-2.879014,-44.87939,0.0023
-8.637042,-44.87939,0.0024
-14.39507,-44.87939,0.0025
-20.1531,-44.87939,0.0018
-25.91113,-44.87939,0.0028
-31.66915,-44.87939,0.0019
-37.42718,-44.87939,0.0024
-43.18521,-44.87939,0.0035
-48.94324,-44.87939,0.0012
-54.70127,-44.87939,0.004
-57.58028,-39.89279,0.0033
-51.82225,-39.89279,0.0024
-46.06422,-39.89279,0.0026
-40.30619,-39.89279,0.0031
-34.54817,-39.89279,0.0018
-28.79014,-39.89279,0.0032
-23.03211,-39.89279,0.0027
-17.27408,-39.89279,0.0023
-11.51606,-39.89279,0.0029
-5.758028,-39.89279,0.0024
-8.881784e-15,-39.89279,0.0026
5.758028,-39.89279,0.0024
11.51606,-39.89279,0.0026
17.27408,-39.89279,0.0023
23.03211,-39.89279,0.0029
28.79014,-39.89279,0.0029
34.54817,-39.89279,0.0019
40.30619,-39.89279,0.0032
46.06422,-39.89279,0.0026
51.82225,-39.89279,0.0023
57.58028,-39.89279,0.0031
54.70127,-34.90619,0.0038
48.94324,-34.90619,0.0014
43.18521,-34.90619,0.0023
37.42718,-34.90619,0.0019
31.66915,-34.90619,0.002
25.91113,-34.90619,0.0028
20.1531,-34.90619,0.0023
14.39507,-34.90619,0.0024
8.637042,-34.90619,0.0026
2.879014,-34.90619,0.0025
-2.879014,-34.90619,0.0025
-8.637042,-34.90619,0.0026
-14.39507,-34.90619,0.0024
-20.1531,-34.90619,0.0018
-25.91113,-34.90619,0.0029
-31.66915,-34.90619,0.0022
-37.42718,-34.90619,0.0019
-43.18521,-34.90619,0.0022
-48.94324,-34.90619,0.0014
-54.70127,-34.90619,0.0037
-57.58028,-29.91959,0.0032
-51.82225,-29.91959,0.0024
-46.06422,-29.91959,0.0017
-40.30619,-29.91959,0.0031
-34.54817,-29.91959,0.0022
-28.79014,-29.91959,0.0022
-23.03211,-29.91959,0.002
-17.27408,-29.91959,0.0018
-11.51606,-29.91959,0.0023
-5.758028,-29.91959,0.0022
-8.881784e-15,-29.91959,0.0022
5.758028,-29.91959,0.0022
11.51606,-29.91959,0.0022
17.27408,-29.91959,0.002
23.03211,-29.91959,0.0022
28.79014,-29.91959,0.002
34.54817,-29.91959,0.0021
40.30619,-29.91959,0.003
46.06422,-29.91959,0.0018
51.82225,-29.91959,0.0024
57.58028,-29.91959,0.0031
54.70127,-24.93299,0.0046
48.94324,-24.93299,0.0018
43.18521,-24.93299,0.0033
37.42718,-24.93299,0.0031
31.66915,-24.93299,0.002
25.91113,-24.93299,0.0025
20.1531,-24.93299,0.0025
14.39507,-24.93299,0.0023
8.637042,-24.93299,0.0024
2.879014,-24.93299,0.0025
-2.879014,-24.93299,0.0024
-8.637042,-24.93299,0.0024
-14.39507,-24.93299,0.0024
-20.1531,-24.93299,0.0024
-25.91113,-24.93299,0.0026
-31.66915,-24.93299,0.0021
-37.42718,-24.93299,0.0031
-43.18521,-24.93299,0.0032
-48.94324,-24.93299,0.0017
-54.70127,-24.93299,0.0044
-57.58028,-19.94639,0.0032
-51.82225,-19.94639,0.0021
-46.06422,-19.94639,0.0016
-40.30619,-19.94639,0.0026
-34.54817,-19.94639,0.0019
-28.79014,-19.94639,0.0022
-23.03211,-19.94639,0.0026
-17.27408,-19.94639,0.0022
-11.51606,-19.94639,0.0025
-5.758028,-19.94639,0.0025
-8.881784e-15,-19.94639,0.0027
5.758028,-19.94639,0.0026
11.51606,-19.94639,0.0025
17.27408,-19.94639,0.0024
23.03211,-19.94639,0.0027
28.79014,-19.94639,0.0022
34.54817,-19.94639,0.002
40.30619,-19.94639,0.0028
46.06422,-19.94639,0.0018
51.82225,-19.94639,0.0023
57.58028,-19.94639,0.0031
54.70127,-14.9598,0.0045
48.94324,-14.9598,0.0017
43.18521,-14.9598,0.0027
37.42718,-14.9598,0.0027
31.66915,-14.9598,0.0021
25.91113,-14.9598,0.0025
20.1531,-14.9598,0.0025
14.39507,-14.9598,0.0024
8.637042,-14.9598,0.0025
2.879014,-14.9598,0.0027
-2.879014,-14.9598,0.0027
-8.637042,-14.9598,0.0025
-14.39507,-14.9598,0.0024
-20.1531,-14.9598,0.0023
-25.91113,-14.9598,0.0026
-31.66915,-14.9598,0.002
-37.42718,-14.9598,0.0027
-43.18521,-14.9598,0.0026
-48.94324,-14.9598,0.0017
-54.70127,-14.9598,0.0043
-57.58028,-9.973197,0.0033
-51.82225,-9.973197,0.0025
-46.06422,-9.973197,0.002
-40.30619,-9.973197,0.0032
-34.54817,-9.973197,0.0023
-28.79014,-9.973197,0.0022
-23.03211,-9.973197,0.0025
-17.27408,-9.973197,0.0023
-11.51606,-9.973197,0.0025
-5.758028,-9.973197,0.0026
-8.881784e-15,-9.973197,0.0027
5.758028,-9.973197,0.0026
11.51606,-9.973197,0.0025
17.27408,-9.973197,0.0023
23.03211,-9.973197,0.0025
28.79014,-9.973197,0.0022
34.54817,-9.973197,0.0024
