SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.45214,-57.62756,0.0014
-49.90693,-57.62756,0.0198
-44.36171,-57.62756,0.0106
-38.8165,-57.62756,0.0109
-33.27129,-57.62756,0.0104
-27.72607,-57.62756,0.0097
-22.18086,-57.62756,0.0109
-16.63564,-57.62756,0.0099
-11.09043,-57.62756,0.0109
-5.545214,-57.62756,0.0095
-2.131628e-14,-57.62756,0.0106
5.545214,-57.62756,0.0094
11.09043,-57.62756,0.0103
16.63564,-57.62756,0.0091
22.18086,-57.62756,0.0103
27.72607,-57.62756,0.0093
33.27129,-57.62756,0.0104
38.8165,-57.62756,0.0111
44.36171,-57.62756,0.0106
49.90693,-57.62756,0.0188
55.45214,-57.62756,0.0014
58.22475,-52.82526,0.0128
52.67953,-52.82526,0.0424
47.13432,-52.82526,0.0134
41.58911,-52.82526,0.0324
36.04389,-52.82526,0.0191
30.49868,-52.82526,0.0249
24.95346,-52.82526,0.0238
19.40825,-52.82526,0.0221
13.86304,-52.82526,0.0256
8.317822,-52.82526,0.0227
2.772607,-52.82526,0.0249
-2.772607,-52.82526,0.0248
-8.317822,-52.82526,0.0227
-13.86304,-52.82526,0.0267
-19.40825,-52.82526,0.0228
-24.95346,-52.82526,0.0249
-30.49868,-52.82526,0.0255
-36.04389,-52.82526,0.0182
-41.58911,-52.82526,0.033
-47.13432,-52.82526,0.0116
-52.67953,-52.82526,0.0443
-58.22475,-52.82526,0.0138
-55.45214,-48.02296,0.0359
-38.8165,-48.02296,0.0012
-33.27129,-48.02296,0.003
-27.72607,-48.02296,0.0046
-22.18086,-48.02296,0.0039
-16.63564,-48.02296,0.0039
-11.09043,-48.02296,0.0044
-5.545214,-48.02296,0.0038
-2.131628e-14,-48.02296,0.0057
5.545214,-48.02296,0.0042
11.09043,-48.02296,0.0053
16.63564,-48.02296,0.0049
22.18086,-48.02296,0.0045
27.72607,-48.02296,0.0045
33.27129,-48.02296,0.0031
38.8165,-48.02296,0.0014
55.45214,-48.02296,0.036
58.22475,-43.22066,0.0125
52.67953,-43.22066,0.0127
47.13432,-43.22066,0.0049
41.58911,-43.22066,0.0179
36.04389,-43.22066,0.0136
30.49868,-43.22066,0.0124
24.95346,-43.22066,0.015
19.40825,-43.22066,0.012
13.86304,-43.22066,0.0148
8.317822,-43.22066,0.0122
2.772607,-43.22066,0.0138
-2.772607,-43.22066,0.0138
-8.317822,-43.22066,0.0122
-13.86304,-43.22066,0.0161
-19.40825,-43.22066,0.0124
-24.95346,-43.22066,0.0163
-30.49868,-43.22066,0.0124
-36.04389,-43.22066,0.0132
-41.58911,-43.22066,0.0189
-47.13432,-43.22066,0.004
-52.67953,-43.22066,0.0108
-58.22475,-43.22066,0.0126
-55.45214,-38.41837,0.0344
-49.90693,-38.41837,0.0123
-44.36171,-38.41837,0.0139
-38.8165,-38.41837,0.0113
-33.27129,-38.41837,0.0076
-27.72607,-38.41837,0.0128
