SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.67445,-55.82846,0.004
-49.81398,-55.82846,0.0022
-43.95351,-55.82846,0.0029
-38.09304,-55.82846,0.0026
-32.23257,-55.82846,0.0024
-26.37211,-55.82846,0.0029
-20.51164,-55.82846,0.0026
-14.65117,-55.82846,0.0027
-8.790702,-55.82846,0.0026
-2.930234,-55.82846,0.0025
2.930234,-55.82846,0.0025
8.790702,-55.82846,0.0025
14.65117,-55.82846,0.0025
20.51164,-55.82846,0.0024
26.37211,-55.82846,0.0028
32.23257,-55.82846,0.0025
38.09304,-55.82846,0.0026
43.95351,-55.82846,0.0028
49.81398,-55.82846,0.0023
55.67445,-55.82846,0.0036
58.60468,-50.75314,0.0012
52.74421,-50.75314,0.0021
46.88374,-50.75314,0.0007
41.02328,-50.75314,0.002
35.16281,-50.75314,0.0014
29.30234,-50.75314,0.0019
23.44187,-50.75314,0.0019
17.5814,-50.75314,0.0017
11.72094,-50.75314,0.002
5.860468,-50.75314,0.0018
1.776357e-15,-50.75314,0.0019
-5.860468,-50.75314,0.0019
-11.72094,-50.75314,0.002
-17.5814,-50.75314,0.0016
-23.44187,-50.75314,0.0019
-29.30234,-50.75314,0.0019
-35.16281,-50.75314,0.0013
-41.02328,-50.75314,0.0021
-46.88374,-50.75314,0.0008
-52.74421,-50.75314,0.0018
-58.60468,-50.75314,0.0013
-55.67445,-45.67783,0.0033
-49.81398,-45.67783,0.0008
-43.95351,-45.67783,0.0028
-38.09304,-45.67783,0.0019
-32.23257,-45.67783,0.0015
-26.37211,-45.67783,0.0024
-20.51164,-45.67783,0.0016
-14.65117,-45.67783,0.0018
-8.790702,-45.67783,0.002
-2.930234,-45.67783,0.0019
2.930234,-45.67783,0.0019
8.790702,-45.67783,0.002
14.65117,-45.67783,0.0019
20.51164,-45.67783,0.0017
26.37211,-45.67783,0.0024
32.23257,-45.67783,0.0015
38.09304,-45.67783,0.002
43.95351,-45.67783,0.0026
49.81398,-45.67783,0.0006
55.67445,-45.67783,0.0033
58.60468,-40.60251,0.0011
52.74421,-40.60251,0.0023
46.88374,-40.60251,0.002
41.02328,-40.60251,0.0024
35.16281,-40.60251,0.0012
29.30234,-40.60251,0.0021
23.44187,-40.60251,0.0021
17.5814,-40.60251,0.0016
11.72094,-40.60251,0.0019
5.860468,-40.60251,0.0017
1.776357e-15,-40.60251,0.0018
-5.860468,-40.60251,0.0017
-11.72094,-40.60251,0.0019
-17.5814,-40.60251,0.0016
-23.44187,-40.60251,0.0022
-29.30234,-40.60251,0.0022
-35.16281,-40.60251,0.0012
-41.02328,-40.60251,0.0023
-46.88374,-40.60251,0.002
-52.74421,-40.60251,0.0023
-58.60468,-40.60251,0.0012
-55.67445,-35.5272,0.0034
-49.81398,-35.5272,0.0012
-43.95351,-35.5272,0.0018
-38.09304,-35.5272,0.0014
-32.23257,-35.5272,0.0018
-26.37211,-35.5272,0.0025
-20.51164,-35.5272,0.0018
-14.65117,-35.5272,0.002
-8.790702,-35.5272,0.0023
-2.930234,-35.5272,0.0021
2.930234,-35.5272,0.0022
8.790702,-35.5272,0.0023
14.65117,-35.5272,0.0021
20.51164,-35.5272,0.002
26.37211,-35.5272,0.0024
32.23257,-35.5272,0.0017
38.09304,-35.5272,0.0015
43.95351,-35.5272,0.0018
49.81398,-35.5272,0.0012
55.67445,-35.5272,0.0034
58.60468,-30.45189,0.001
52.74421,-30.45189,0.0021
