SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-55.89793,-56.05256,0.0031
-50.01394,-56.05256,0.0022
-44.12995,-56.05256,0.0026
-38.24596,-56.05256,0.0024
-32.36196,-56.05256,0.0022
-26.47797,-56.05256,0.0026
-20.59398,-56.05256,0.0022
-14.70998,-56.05256,0.0024
-8.82599,-56.05256,0.0023
-2.941997,-56.05256,0.0022
2.941997,-56.05256,0.0022
8.82599,-56.05256,0.0022
14.70998,-56.05256,0.0023
20.59398,-56.05256,0.0022
26.47797,-56.05256,0.0025
32.36196,-56.05256,0.0022
38.24596,-56.05256,0.0024
44.12995,-56.05256,0.0025
50.01394,-56.05256,0.0022
55.89793,-56.05256,0.0032
58.83993,-50.95687,0.0011
52.95594,-50.95687,0.0028
47.07195,-50.95687,0.0009
41.18795,-50.95687,0.0026
35.30396,-50.95687,0.0016
29.41997,-50.95687,0.0022
23.53597,-50.95687,0.0021
17.65198,-50.95687,0.0019
11.76799,-50.95687,0.0022
5.883993,-50.95687,0.002
-3.375078e-14,-50.95687,0.0021
-5.883993,-50.95687,0.002
-11.76799,-50.95687,0.0022
-17.65198,-50.95687,0.0018
-23.53597,-50.95687,0.0021
-29.41997,-50.95687,0.0022
-35.30396,-50.95687,0.0015
-41.18795,-50.95687,0.0027
-47.07195,-50.95687,0.001
-52.95594,-50.95687,0.0026
-58.83993,-50.95687,0.0011
-55.89793,-45.86119,0.0031
-50.01394,-45.86119,0.0007
-44.12995,-45.86119,0.0027
-38.24596,-45.86119,0.0018
-32.36196,-45.86119,0.0013
-26.47797,-45.86119,0.0022
-20.59398,-45.86119,0.0013
-14.70998,-45.86119,0.0015
-8.82599,-45.86119,0.0016
-2.941997,-45.86119,0.0016
2.941997,-45.86119,0.0015
8.82599,-45.86119,0.0016
14.70998,-45.86119,0.0016
20.59398,-45.86119,0.0015
26.47797,-45.86119,0.002
32.36196,-45.86119,0.0014
38.24596,-45.86119,0.0019
44.12995,-45.86119,0.0026
50.01394,-45.86119,0.0006
55.89793,-45.86119,0.0031
58.83993,-40.7655,0.001
52.95594,-40.7655,0.0028
47.07195,-40.7655,0.0023
41.18795,-40.7655,0.003
35.30396,-40.7655,0.0015
29.41997,-40.7655,0.0023
23.53597,-40.7655,0.0022
17.65198,-40.7655,0.0018
11.76799,-40.7655,0.002
5.883993,-40.7655,0.0018
-4.796163e-14,-40.7655,0.0018
-5.883993,-40.7655,0.0018
-11.76799,-40.7655,0.002
-17.65198,-40.7655,0.0017
-23.53597,-40.7655,0.0024
-29.41997,-40.7655,0.0026
-35.30396,-40.7655,0.0014
-41.18795,-40.7655,0.0029
-47.07195,-40.7655,0.0024
-52.95594,-40.7655,0.0028
-58.83993,-40.7655,0.0011
-55.89793,-35.66981,0.0033
-50.01394,-35.66981,0.0012
-44.12995,-35.66981,0.0017
-38.24596,-35.66981,0.0013
-32.36196,-35.66981,0.0016
-26.47797,-35.66981,0.0024
-20.59398,-35.66981,0.0017
-14.70998,-35.66981,0.0018
-8.82599,-35.66981,0.002
-2.941997,-35.66981,0.0019
2.941997,-35.66981,0.0019
8.82599,-35.66981,0.002
14.70998,-35.66981,0.0018
20.59398,-35.66981,0.0018
26.47797,-35.66981,0.0021
32.36196,-35.66981,0.0015
38.24596,-35.66981,0.0013
44.12995,-35.66981,0.0017
50.01394,-35.66981,0.0012
55.89793,-35.66981,0.0033
58.83993,-30.57413,0.0008
52.95594,-30.57413,0.0023
