SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-56.58602,-58.80592,0.0022
-50.92742,-58.80592,0.0016
-45.26881,-58.80592,0.0018
-39.61021,-58.80592,0.0013
-33.95161,-58.80592,0.0019
-28.29301,-58.80592,0.0014
-22.63441,-58.80592,0.0017
-16.97581,-58.80592,0.0015
-11.3172,-58.80592,0.0016
-5.658602,-58.80592,0.0014
-8.881784e-15,-58.80592,0.0015
5.658602,-58.80592,0.0014
11.3172,-58.80592,0.0015
16.97581,-58.80592,0.0014
22.63441,-58.80592,0.0016
28.29301,-58.80592,0.0014
33.95161,-58.80592,0.0019
39.61021,-58.80592,0.0013
45.26881,-58.80592,0.0018
50.92742,-58.80592,0.0017
56.58602,-58.80592,0.0021
59.41532,-53.90542,0.0021
53.75672,-53.90542,0.0154
48.09812,-53.90542,0.004
42.43951,-53.90542,0.0097
36.78091,-53.90542,0.0065
31.12231,-53.90542,0.0074
25.46371,-53.90542,0.0074
19.80511,-53.90542,0.0066
14.1465,-53.90542,0.0069
8.487903,-53.90542,0.007
2.829301,-53.90542,0.0068
-2.829301,-53.90542,0.0067
-8.487903,-53.90542,0.007
-14.1465,-53.90542,0.0073
-19.80511,-53.90542,0.0068
-25.46371,-53.90542,0.0076
-31.12231,-53.90542,0.0074
-36.78091,-53.90542,0.0063
-42.43951,-53.90542,0.0103
-48.09812,-53.90542,0.0035
-53.75672,-53.90542,0.0152
-59.41532,-53.90542,0.0022
-56.58602,-49.00493,0.0057
-45.26881,-49.00493,0.0021
-39.61021,-49.00493,0.0028
-33.95161,-49.00493,0.0025
-28.29301,-49.00493,0.0028
-22.63441,-49.00493,0.0029
-16.97581,-49.00493,0.0025
-11.3172,-49.00493,0.0035
-5.658602,-49.00493,0.0029
-8.881784e-15,-49.00493,0.0034
5.658602,-49.00493,0.0031
11.3172,-49.00493,0.0038
16.97581,-49.00493,0.0027
22.63441,-49.00493,0.0032
28.29301,-49.00493,0.0028
33.95161,-49.00493,0.0027
39.61021,-49.00493,0.0026
45.26881,-49.00493,0.0019
56.58602,-49.00493,0.0063
59.41532,-44.10444,0.001
53.75672,-44.10444,0.0086
48.09812,-44.10444,0.0034
42.43951,-44.10444,0.0076
36.78091,-44.10444,0.005
31.12231,-44.10444,0.0043
25.46371,-44.10444,0.0061
19.80511,-44.10444,0.0044
14.1465,-44.10444,0.0052
8.487903,-44.10444,0.0052
2.829301,-44.10444,0.005
-2.829301,-44.10444,0.0049
-8.487903,-44.10444,0.005
-14.1465,-44.10444,0.0053
-19.80511,-44.10444,0.0043
-25.46371,-44.10444,0.0064
-31.12231,-44.10444,0.0045
-36.78091,-44.10444,0.0048
-42.43951,-44.10444,0.0081
-48.09812,-44.10444,0.0036
-53.75672,-44.10444,0.0087
-59.41532,-44.10444,0.0011
-56.58602,-39.20395,0.0081
-50.92742,-39.20395,0.0037
-45.26881,-39.20395,0.0046
-39.61021,-39.20395,0.0036
-33.95161,-39.20395,0.0031
-28.29301,-39.20395,0.0048
-22.63441,-39.20395,0.0042
-16.97581,-39.20395,0.0033
-11.3172,-39.20395,0.0044
-5.658602,-39.20395,0.0037
-8.881784e-15,-39.20395,0.0041
5.658602,-39.20395,0.0038
11.3172,-39.20395,0.0044
16.97581,-39.20395,0.0035
22.63441,-39.20395,0.0044
28.29301,-39.20395,0.0044
33.95161,-39.20395,0.003
39.61021,-39.20395,0.0038
45.26881,-39.20395,0.0047
50.92742,-39.20395,0.0034
56.58602,-39.20395,0.0079
59.41532,-34.30345,0.0004
53.75672,-34.30345,0.0071
48.09812,-34.30345,0.0031
42.43951,-34.30345,0.0045
36.78091,-34.30345,0.0038
31.12231,-34.30345,0.0041
25.46371,-34.30345,0.0055
19.80511,-34.30345,0.0042
14.1465,-34.30345,0.0049
8.487903,-34.30345,0.0051
2.829301,-34.30345,0.0049
-2.829301,-34.30345,0.0048
-8.487903,-34.30345,0.005
-14.1465,-34.30345,0.0048
-19.80511,-34.30345,0.0036
-25.46371,-34.30345,0.0055
-31.12231,-34.30345,0.0044
-36.78091,-34.30345,0.0039
-42.43951,-34.30345,0.0043
-48.09812,-34.30345,0.003
-53.75672,-34.30345,0.007
-59.41532,-34.30345,0.0004
-56.58602,-29.40296,0.0083
-50.92742,-29.40296,0.0037
-45.26881,-29.40296,0.0036
-39.61021,-29.40296,0.0046
-33.95161,-29.40296,0.0038
-28.29301,-29.40296,0.0038
-22.63441,-29.40296,0.0038
-16.97581,-29.40296,0.0036
-11.3172,-29.40296,0.0042
-5.658602,-29.40296,0.0037
-8.881784e-15,-29.40296,0.0037
5.658602,-29.40296,0.0038
11.3172,-29.40296,0.0041
16.97581,-29.40296,0.0036
22.63441,-29.40296,0.0039
28.29301,-29.40296,0.0037
33.95161,-29.40296,0.0037
39.61021,-29.40296,0.0045
45.26881,-29.40296,0.0036
50.92742,-29.40296,0.0037
56.58602,-29.40296,0.008
59.41532,-24.50246,0.0006
53.75672,-24.50246,0.0078
48.09812,-24.50246,0.0037
42.43951,-24.50246,0.0059
36.78091,-24.50246,0.0053
31.12231,-24.50246,0.0041
25.46371,-24.50246,0.0053
19.80511,-24.50246,0.0048
14.1465,-24.50246,0.0049
8.487903,-24.50246,0.0049
2.829301,-24.50246,0.0048
-2.829301,-24.50246,0.0047
-8.487903,-24.50246,0.0049
-14.1465,-24.50246,0.0051
-19.80511,-24.50246,0.0049
-25.46371,-24.50246,0.0055
-31.12231,-24.50246,0.0042
-36.78091,-24.50246,0.0055
-42.43951,-24.50246,0.0061
-48.09812,-24.50246,0.004
-53.75672,-24.50246,0.0082
-59.41532,-24.50246,0.0007
-56.58602,-19.60197,0.0077
-50.92742,-19.60197,0.0035
-45.26881,-19.60197,0.0035
-39.61021,-19.60197,0.0042
-33.95161,-19.60197,0.0034
-28.29301,-19.60197,0.004
-22.63441,-19.60197,0.0045
-16.97581,-19.60197,0.0038
-11.3172,-19.60197,0.0045
-5.658602,-19.60197,0.0043
-8.881784e-15,-19.60197,0.0046
5.658602,-19.60197,0.0043
11.3172,-19.60197,0.0045
